Habitat _Ty,Notes,lat,lon,garmin_elevation,Timestamp,Plot-ID,fid
Open,2023-05-22T07:58:57Z,48.979802,13.392672,1355.16687,2023-05-22T07:58:57Z,MB-T-1,9
Open,2023-05-22T07:58:57Z,48.979282,13.393218,1352.141968,2023-05-22T08:16:38Z,MB-T-2,10
Open,2023-05-22T07:58:57Z,48.979388,13.394439,1345.579224,2023-05-22T08:30:14Z,MB-T-3,11
Open,2023-05-22T07:58:57Z,48.980542,13.393935,1344.79541,2023-05-22T08:42:01Z,MB-T-4,12
Mixed,2023-05-22T07:58:57Z,48.966012,13.41954,1182.802368,2023-05-22T10:21:56Z,MB-C-1,13
Mixed,2023-05-22T07:58:57Z,48.968419,13.420332,1199.079834,2023-05-22T10:38:34Z,MB-C-2,14
Open,2023-05-22T07:58:57Z,48.969691,13.419085,1210.656982,2023-05-22T10:59:45Z,MB-C-3,15
Open,2023-05-22T07:58:57Z,48.969735,13.41815,1198.822266,2023-05-22T11:13:45Z,MB-C-4,16
Open,2023-05-22T07:58:57Z,48.959559,13.461193,1330.570312,2023-05-22T13:31:15Z,MC-T-1,17
Open,2023-05-22T07:58:57Z,48.960425,13.461032,1329.201172,2023-05-22T13:50:00Z,MC-T-2,18
Open,2023-05-22T07:58:57Z,48.960724,13.462794,1343.227295,2023-05-22T14:02:53Z,MC-T-3,19
Open,2023-05-22T07:58:57Z,48.959959,13.463352,1340.524292,2023-05-22T14:15:56Z,MC-T-4,20
Open,2023-05-22T07:58:57Z,48.946429,13.484044,1204.376221,2023-05-22T15:17:38Z,MC-C-1,21
Open,2023-05-22T07:58:57Z,48.945108,13.486241,1193.349609,2023-05-22T15:30:29Z,MC-C-2,22
Coniferous,2023-05-22T07:58:57Z,48.944935,13.484336,1201.130981,2023-05-22T15:43:23Z,MC-C-3,23
Coniferous,2023-05-22T07:58:57Z,48.945672,13.483241,1204.223267,2023-05-22T15:58:33Z,MC-C-4,24
